trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 1.0}",25,0,-172.26988566814066,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.95}",20,0,-79.95396280910067,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.9024999999999999}",20,8,-34.33712430215067,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.8, 'e': 0.8573749999999999}",25,0,-63.55432177933808,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.8145062499999999}",25,0,-80.65130161061187,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.7737809374999998}",20,0,-156.29970324787314,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.7350918906249998}",25,12,-45.276379553728965,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.6983372960937497}",25,0,-134.4803762685733,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.6634204312890623}",35,22,-34.66201100588438,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.8, 'e': 0.6302494097246091}",20,0,-47.473724430409476,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.5987369392383787}",20,0,-1.941347560223702,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.5688000922764597}",25,0,-73.13308372512681,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.5403600876626367}",20,0,-53.35859223528187,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.8, 'e': 0.5133420832795048}",30,0,-75.01618836881514,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.48767497911552954}",20,5,-7.7056738622110075,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.46329123015975304}",30,14,5.4828646741037765,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.8, 'e': 0.44012666865176536}",20,0,-26.03306255589703,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.8, 'e': 0.4181203352191771}",20,3,-65.92283735768497,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
19,False,"{'a': 0.8, 'e': 0.3972143184582182}",30,7,-29.20591514188706,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.8, 'e': 0.37735360253530725}",30,0,-195.6845083300569,"{0: 19, 1: 0, 2: 6, 3: 2, 4: 3}",0
